title,description,category,resolution,priority
Group membership update for Cloud,4 users need to be removed from the admin group for Analytics Dashboard. Requested by team lead. Reason: project assignment.,Access Management,"1. Verify the request with the team lead/manager.
2. Review the group permissions to ensure appropriateness.
3. Add/remove the specified users from the group.
4. Verify each user's access is updated correctly.
5. Notify affected users of the change.
6. Update the team access matrix documentation.",Medium
Reporting Engine search functionality returning no results,Search in Order Management returns empty results for all queries. Solr index appears to be corrupted. Reported by 25 users from DevOps.,Application,"1. Check search engine cluster health and index status.
2. Verify the data sync pipeline between the primary database and search index.
3. Rebuild the search index from the source database.
4. Verify search query parsing and filtering logic.
5. Monitor indexing lag to prevent future occurrences.",High
Email Service search functionality returning no results,Search in SSO Portal returns empty results for all queries. Algolia index appears to be out of sync. Reported by 24 users from Identity.,Application,"1. Check search engine cluster health and index status.
2. Verify the data sync pipeline between the primary database and search index.
3. Rebuild the search index from the source database.
4. Verify search query parsing and filtering logic.
5. Monitor indexing lag to prevent future occurrences.",High
Docker build failures on qa-app-4,Ansible pipeline has been failing for the last since yesterday on staging-proxy-6. Error: OutOfMemoryError. All deployments to QA are blocked. Team ML is affected.,Infrastructure,"1. Check Terraform system logs for root cause.
2. Restart the build agent/runner service.
3. Verify network connectivity to artifact repositories.
4. Clear workspace cache and retry the build.
5. If persistent, provision a new build agent.",Critical
VPN disconnections for remote employees,Multiple remote employees reporting NordLayer VPN disconnecting every 3 minutes. Affects 97 users across Europe region. Users lose access to internal resources. OS: CentOS Stream 9. Started 10 minutes ago.,Network,"1. Check VPN gateway logs for disconnect reasons.
2. Verify VPN server capacity — may need scaling.
3. Check for MTU mismatch issues — set MTU to 1400 on client.
4. Update VPN client to the latest version.
5. Check if ISP-level throttling is affecting VPN traffic.
6. Enable VPN split-tunneling to reduce gateway load.",Medium
DNS resolution failures for internal services,Internal DNS resolution failing intermittently. private hosted zone records not resolving. Affecting 3 services including CRM Portal. DNS server: 182.89.74.147. Started 3 hours ago.,Network,"1. Check DNS server health and query logs.
2. Verify DNS zone configurations and SOA records.
3. Flush DNS cache on affected clients: `ipconfig /flushdns` or equivalent.
4. Check if DNS server is overwhelmed — add secondary DNS.
5. Verify network ACLs are not blocking DNS (UDP/TCP 53).
6. Test resolution with `nslookup` and `dig` for debugging.",High
Account locked out for lisa.thomas@company.com,"User ananya.davis@company.com from Mobile is locked out of their Active Directory account after 6 failed password attempts. Unable to access any company systems including CI/CD Pipeline, email, and VPN. User is working remotely.",Access Management,"1. Verify user identity through secondary authentication (phone/Slack).
2. Unlock the AD account via Active Directory Users and Computers.
3. Reset the password to a temporary value.
4. Ensure user changes password at next login.
5. Check login logs for suspicious activity from other IPs.
6. If legitimate lockout, educate user on password manager usage.",Medium
Analytics Dashboard memory leak causing OOM crashes,"Invoice System on prod-api-3 is consuming increasing memory over time, eventually hitting OOM and crashing. RSS grows from 499MB to 5GB within 6 hours. Environment: UAT.",Application,"1. Generate a heap dump for analysis: use appropriate profiler.
2. Identify leaking objects/connections using profiling tools.
3. Check for unclosed database connections, event listeners, or cache growth.
4. Apply fix and deploy with memory limits.
5. Set up memory usage alerting at 80% of container limit.",Critical
Scheduled job failures in Reporting Engine,Cron/scheduled jobs in API Gateway have been failing since since this morning ago. Jobs: report generation. Error: ORA-01017. Environment: sandbox.,Application,"1. Check cron job logs for specific error messages.
2. Verify database/external service connectivity from the job runner.
3. Check if job runner has sufficient resources (CPU/memory).
4. Manually trigger the failed job to test.
5. Fix the root cause, clear any stuck/orphaned job locks, and re-enable scheduling.",High
Password reset request for email account,mike.jones@company.com from Mobile requesting password reset for their CRM Portal account. Reason: password expired. Identity verified via manager email.,Access Management,"1. Verify user identity through approved verification method.
2. Reset password to a temporary value meeting complexity requirements.
3. Set ""must change at next login"" flag.
4. Communicate temporary password via secure channel.
5. Confirm user can log in successfully.
6. If compromised warning: review login history and enable MFA.",Low
Customer Portal returning HTTP 504 errors,API Gateway is returning HTTP 503 errors for users. Started 30 minutes ago. Affecting approximately 37 users. Browser: Firefox 120. Error: ECONNRESET.,Application,"1. Check application logs for stack traces and error details.
2. Verify backend service health and database connectivity.
3. If 5xx: restart the application pods/processes.
4. If 4xx: check recent deployment changes for routing/auth issues.
5. Monitor error rates post-fix and notify affected users.",High
Docker container crash loop on uat-app-15,Docker container for Customer Portal is in a crash loop (CrashLoopBackOff) on uat-web-23. Logs show: SEGFAULT. Environment: staging. Restarted 41 times in the last hour.,Infrastructure,"1. Inspect container logs: `docker logs <container_id>`.
2. Check resource limits (memory/CPU) — container may be OOM killed.
3. Verify environment variables and config mounts.
4. Roll back to the previous known-good image.
5. Fix the root cause in application code and redeploy.",High
Bandwidth throttling detected on qa-proxy-15,Network throughput on dev-proxy-4 limited to 55Mbps instead of expected 6Gbps. backups running 14x slower than normal. Issue detected by Infrastructure team.,Network,"1. Check NIC configuration — verify speed/duplex settings.
2. Check for QoS policies or traffic shaping rules.
3. Run iperf3 between affected servers to measure actual throughput.
4. Verify switch port configuration matches expected speed.
5. Replace network cable if physical layer issue suspected.
6. Check for VM-level network throttling in hypervisor settings.",High
